paper_or_quiz,doi_if_known,has_quiz,has_audio,topic,suggested_action
Inouye et al. — The Confusion Assessment Method (CAM),10.7326/0003-4819-113-12-941,?,no,Geriatric/Delirium,add as option — needs audio (+quiz check)
Posner et al. — Columbia Suicide Severity Rating Scale (C-SSRS),10.1176/appi.ajp.2011.10111704,yes,no,Acute & Safety,add as option — quiz likely ready; needs audio
UK ECT Review Group — ECT Efficacy Meta-Analysis,10.1016/S0140-6736(03)12705-5,yes,no,Acute & Safety,add as option — quiz likely ready; needs audio
Unützer et al. — IMPACT Trial (Collaborative Care),10.1001/jama.288.22.2836,yes,no,Skills/Therapy/Systems,add as option — quiz likely ready; needs audio
ADA/APA Consensus — Metabolic Monitoring for Antipsychotics,10.2337/diacare.27.2.596,yes,no,Psychosis,add as option — quiz likely ready; needs audio
RAISE-ETP — Coordinated Specialty Care for First-Episode Psychosis,10.1176/appi.ajp.2015.15050632,yes,no,Psychosis,add as option — quiz likely ready; needs audio
Zarate et al. — Ketamine for Treatment-Resistant Depression,10.1001/archpsyc.63.8.856,yes,no,Mood,add as option — quiz likely ready; needs audio
Sackeim et al. — Post-ECT Relapse Prevention,10.1001/jama.285.10.1299,yes,no,Acute & Safety,add as option — quiz likely ready; needs audio
Fudala et al. — Office-Based Buprenorphine/Naloxone for Opioid Dependence,10.1056/NEJMoa022164,yes,no,Substance Use,add as option — quiz likely ready; needs audio
Anton et al. — COMBINE Study (Alcohol Use Disorder),10.1001/jama.295.17.2003,yes,no,Substance Use,add as option — quiz likely ready; needs audio
Dole & Nyswander — Methadone Maintenance Treatment,10.1001/jama.1965.03090080008002,yes,no,Substance Use,add as option — quiz likely ready; needs audio
Barlow et al. — CBT vs. Imipramine for Panic Disorder,10.1001/jama.283.19.2529,yes,no,Anxiety/Trauma/OCD,add as option — quiz likely ready; needs audio
Brady et al. — Sertraline for PTSD,10.1001/jama.283.14.1837,yes,no,Anxiety/Trauma/OCD,add as option — quiz likely ready; needs audio
POTS — Pediatric OCD Treatment Study,10.1001/jama.292.16.1969,yes,no,Anxiety/Trauma/OCD,add as option — quiz likely ready; needs audio
Huhn et al. — Comparative Efficacy of 32 Antipsychotics,10.1016/S0140-6736(19)31135-3,yes,no,Psychosis,add as option — quiz likely ready; needs audio
Tiihonen et al. — FIN11 Mortality Study,10.1016/S0140-6736(09)60742-X,yes,no,Psychosis,add as option — quiz likely ready; needs audio
Elkin et al. — NIMH Treatment of Depression Collaborative Research Program,10.1001/archpsyc.1989.01810110013002,yes,no,Skills/Therapy/Systems,add as option — quiz likely ready; needs audio
Ely et al. — CAM-ICU Validation,10.1001/jama.286.21.2703,yes,no,Geriatric/Delirium,add as option — quiz likely ready; needs audio
Guo et al. — Measurement-Based Care for Depression,10.1176/appi.ajp.2015.14050652,yes,no,Mood,add as option — quiz likely ready; needs audio
Schneider et al. — CATIE-AD (Antipsychotics in Dementia),10.1056/NEJMoa061240,yes,no,Geriatric/Delirium,add as option — quiz likely ready; needs audio
Nasreddine et al. — Montreal Cognitive Assessment (MoCA),10.1111/j.1532-5415.2005.53221.x,?,no,Geriatric/Delirium,add as option — needs audio (+quiz check)
Reisberg et al. — Memantine for Moderate-to-Severe Alzheimer's Disease,10.1056/NEJMoa013128,?,no,Geriatric/Delirium,add as option — needs audio (+quiz check)
Cuijpers et al. — Psychotherapy for Depression Meta-Analysis,10.1002/wps.21069,yes,no,Skills/Therapy/Systems,add as option — quiz likely ready; needs audio
Anthony — Recovery Model in Mental Health,10.1037/h0095655,yes,no,Skills/Therapy/Systems,add as option — quiz likely ready; needs audio
Hamann et al. — Shared Decision Making in Psychiatry,10.1034/j.1600-0447.2003.00130.x,yes,no,Psychosis,add as option — quiz likely ready; needs audio
Kirkbride et al. — Social Determinants of Mental Health,10.1002/wps.21160,yes,no,Skills/Therapy/Systems,add as option — quiz likely ready; needs audio
Bowden et al. — Divalproex for Acute Mania,10.1001/jama.1994.03510360044034,yes,no,Mood,add as option — quiz likely ready; needs audio
Delay & Deniker — Discovery of Chlorpromazine,,yes,no,Psychosis,add as option — quiz likely ready; needs audio
van Dyck et al. — CLARITY-AD (Lecanemab for Early Alzheimer's Disease),10.1056/NEJMoa2212948,yes,no,Geriatric/Delirium,add as option — quiz likely ready; needs audio
