id,number,short_title,topic_bucket,importance_stars,difficulty,practice_changing,doi,primary_citation
LM-01,1,CATIE Trial — Antipsychotic Effectiveness in Schizophrenia,Psychosis,5,Intermediate,Yes — fundamentally changed how clinicians think about antipsychotic selection.,10.1056/NEJMoa051688,"Lieberman JA, Stroup TS, McEvoy JP, et al. ""Effectiveness of Antipsychotic Drugs in Patients with Chronic Schizophrenia."" New England Journal of Medicine. 2005;353(12):1209–1223. doi:10.1056/NEJMoa051688. PubMed: 16172203"
LM-02,2,Kane et al. — Clozapine for Treatment-Resistant Schizophrenia,Psychosis,5,Intermediate,Yes — clozapine remains the standard of care for treatment-resistant schizophrenia.,10.1001/archpsyc.1988.01800330013001,"Kane J, Honigfeld G, Singer J, Meltzer H. ""Clozapine for the Treatment-Resistant Schizophrenic: A Double-Blind Comparison with Chlorpromazine."" Archives of General Psychiatry. 1988;45(9):789–796. doi:10.1001/archpsyc.1988.01800330013001. PubMed: 3046553"
LM-03,3,STARD — Sequenced Treatment Alternatives to Relieve Depression,Mood,5,Intermediate,Yes — established measurement-based care and realistic expectations for depression treatment.,10.1176/appi.ajp.163.11.1905,"Rush AJ, Trivedi MH, Wisniewski SR, et al. ""Acute and Longer-Term Outcomes in Depressed Outpatients Requiring One or Several Treatment Steps: A STARD Report."" American Journal of Psychiatry. 2006;163(11):1905–1917. doi:10.1176/appi.ajp.163.11.1905. PubMed: 17074942"
LM-04,4,Cipriani et al. — Comparative Efficacy of 21 Antidepressants,Mood,5,Introductory,Yes — the definitive reference for antidepressant selection.,10.1016/S0140-6736(17)32802-7,"Cipriani A, Furukawa TA, Salanti G, et al. ""Comparative Efficacy and Acceptability of 21 Antidepressant Drugs for the Acute Treatment of Adults with Major Depressive Disorder: A Systematic Review and Network Meta-Analysis."" Lancet. 2018;391(10128):1357–1366. doi:10.1016/S0140-6736(17)32802-7. PubMed: 29477251"
LM-05,5,Inouye et al. — The Confusion Assessment Method (CAM),Geriatric/Delirium,5,Introductory,Yes — remains the standard delirium screening tool worldwide.,10.7326/0003-4819-113-12-941,"Inouye SK, van Dyck CH, Alessi CA, et al. ""Clarifying Confusion: The Confusion Assessment Method."" Annals of Internal Medicine. 1990;113(12):941–948. doi:10.7326/0003-4819-113-12-941. PubMed: 2240918"
LM-06,6,Inouye et al. — Yale Delirium Prevention Trial (HELP),Geriatric/Delirium,5,Introductory,Yes — HELP remains the evidence-based standard for delirium prevention.,10.1056/NEJM199903043400901,"Inouye SK, Bogardus ST, Charpentier PA, et al. ""A Multicomponent Intervention to Prevent Delirium in Hospitalized Older Patients."" New England Journal of Medicine. 1999;340(9):669–676. doi:10.1056/NEJM199903043400901. PubMed: 10053175"
LM-07,7,Linehan — Dialectical Behavior Therapy for Borderline Personality Disorder,Personality,5,Intermediate,Yes — DBT remains the most evidence-based treatment for BPD.,10.1001/archpsyc.1991.01810360024003,"Linehan MM, Armstrong HE, Suarez A, Allmon D, Heard HL. ""Cognitive-Behavioral Treatment of Chronically Parasuicidal Borderline Patients."" Archives of General Psychiatry. 1991;48(12):1060–1064. doi:10.1001/archpsyc.1991.01810360024003. PubMed: 1845222"
LM-08,8,STEP-BD — Antidepressants in Bipolar Depression,Mood,5,Intermediate,Yes — guides current bipolar depression management.,10.1056/NEJMoa064135,"Sachs GS, Nierenberg AA, Calabrese JR, et al. ""Effectiveness of Adjunctive Antidepressant Treatment for Bipolar Depression."" New England Journal of Medicine. 2007;356(17):1711–1722. doi:10.1056/NEJMoa064135. PubMed: 17460148"
LM-09,9,Cipriani et al. — Lithium and Suicide Prevention,Acute & Safety,5,Introductory,Yes — lithium remains the only medication with robust evidence for suicide prevention.,10.1136/bmj.f3646,"Cipriani A, Hawton K, Stockton S, Geddes JR. ""Lithium in the Prevention of Suicide in Mood Disorders: Updated Systematic Review and Meta-Analysis."" BMJ. 2013;346:f3646. doi:10.1136/bmj.f3646. PubMed: 23814104"
LM-10,10,Mann et al. — Suicide Prevention Strategies,Acute & Safety,5,Introductory,Yes — means restriction and safety planning are now standard of care.,10.1001/jama.294.16.2064,"Mann JJ, Apter A, Bertolote J, et al. ""Suicide Prevention Strategies: A Systematic Review."" JAMA. 2005;294(16):2064–2074. doi:10.1001/jama.294.16.2064. PubMed: 16249421"
LM-11,11,Posner et al. — Columbia Suicide Severity Rating Scale (C-SSRS),Acute & Safety,5,Introductory,Yes — the standard suicide assessment tool.,10.1176/appi.ajp.2011.10111704,"Posner K, Brown GK, Stanley B, et al. ""The Columbia-Suicide Severity Rating Scale: Initial Validity and Internal Consistency Findings from Three Multisite Studies with Adolescents and Adults."" American Journal of Psychiatry. 2011;168(12):1266–1277. doi:10.1176/appi.ajp.2011.10111704. PubMed: 22193671"
LM-12,12,Bush et al. — Bush-Francis Catatonia Rating Scale and Lorazepam Treatment,Acute & Safety,5,Introductory,Yes — the BFCRS and lorazepam challenge are current standard of care.,10.1111/j.1600-0447.1996.tb09814.x,"Bush G, Fink M, Petrides G, Dowling F, Francis A. ""Catatonia. I. Rating Scale and Standardized Examination"" and ""Catatonia. II. Treatment with Lorazepam and Electroconvulsive Therapy."" Acta Psychiatrica Scandinavica. 1996;93(2):129–143. doi:10.1111/j.1600-0447.1996.tb09814.x. PubMed: 8686483"
LM-13,13,UK ECT Review Group — ECT Efficacy Meta-Analysis,Acute & Safety,5,Intermediate,Yes — ECT remains the most effective treatment for severe depression.,10.1016/S0140-6736(03)12705-5,"UK ECT Review Group. ""Efficacy and Safety of Electroconvulsive Therapy in Depressive Disorders: A Systematic Review and Meta-Analysis."" Lancet. 2003;361(9360):799–808. doi:10.1016/S0140-6736(03)12705-5. PubMed: 12642045"
LM-14,14,BALANCE Trial — Lithium vs. Valproate for Bipolar Maintenance,Mood,4,Intermediate,Yes — supports lithium as first-line maintenance therapy.,10.1016/S0140-6736(09)61828-6,"BALANCE Investigators, Geddes JR, Goodwin GM, et al. ""Lithium Plus Valproate Combination Therapy Versus Monotherapy for Relapse Prevention in Bipolar I Disorder (BALANCE): A Randomised Open-Label Trial."" Lancet. 2010;375(9712):385–395. doi:10.1016/S0140-6736(09)61828-6. PubMed: 20092882"
LM-15,15,Unützer et al. — IMPACT Trial (Collaborative Care),Skills/Therapy/Systems,5,Introductory,Yes — the dominant model for integrated behavioral health.,10.1001/jama.288.22.2836,"Unützer J, Katon W, Callahan CM, et al. ""Collaborative Care Management of Late-Life Depression in the Primary Care Setting: A Randomized Controlled Trial."" JAMA. 2002;288(22):2836–2845. doi:10.1001/jama.288.22.2836. PubMed: 12472325"
LM-16,16,Hammad et al. — FDA Antidepressant Black Box Warning,Acute & Safety,5,Introductory,Yes — shapes every antidepressant prescription in youth.,10.1001/archpsyc.63.3.332,"Hammad TA, Laughren T, Racoosin J. ""Suicidality in Pediatric Patients Treated with Antidepressant Drugs."" Archives of General Psychiatry. 2006;63(3):332–339. doi:10.1001/archpsyc.63.3.332. PubMed: 16520440"
LM-17,17,ADA/APA Consensus — Metabolic Monitoring for Antipsychotics,Psychosis,5,Introductory,Yes — metabolic monitoring is standard of care.,10.2337/diacare.27.2.596,"American Diabetes Association, American Psychiatric Association, et al. ""Consensus Development Conference on Antipsychotic Drugs and Obesity and Diabetes."" Diabetes Care. 2004;27(2):596–601. doi:10.2337/diacare.27.2.596. PubMed: 14747245"
LM-18,18,RAISE-ETP — Coordinated Specialty Care for First-Episode Psychosis,Psychosis,4,Intermediate,Yes — coordinated specialty care is now the standard for first-episode psychosis.,10.1176/appi.ajp.2015.15050632,"Kane JM, Robinson DG, Schooler NR, et al. ""Comprehensive Versus Usual Community Care for First-Episode Psychosis: 2-Year Outcomes from the NIMH RAISE Early Treatment Program."" American Journal of Psychiatry. 2016;173(4):362–372. doi:10.1176/appi.ajp.2015.15050632. PubMed: 26481174"
LM-19,19,Leucht et al. — Antipsychotic Maintenance Treatment Meta-Analysis,Psychosis,5,Introductory,Yes — the definitive evidence for maintenance antipsychotic treatment.,10.1016/S0140-6736(12)60239-6,"Leucht S, Tardy M, Komossa K, et al. ""Antipsychotic Drugs Versus Placebo for Relapse Prevention in Schizophrenia: A Systematic Review and Meta-Analysis."" Lancet. 2012;379(9831):2063–2071. doi:10.1016/S0140-6736(12)60239-6. PubMed: 22560607"
LM-20,20,TADS — Treatment for Adolescents with Depression Study,Mood,5,Introductory,Yes — guides adolescent depression treatment.,10.1001/jama.292.7.807,"March J, Silva S, Petrycki S, et al. ""Fluoxetine, Cognitive-Behavioral Therapy, and Their Combination for Adolescents with Depression: Treatment for Adolescents with Depression Study (TADS) Randomized Controlled Trial."" JAMA. 2004;292(7):807–820. doi:10.1001/jama.292.7.807. PubMed: 15315995"
LM-21,21,Zarate et al. — Ketamine for Treatment-Resistant Depression,Mood,4,Intermediate,Yes — launched the rapid-acting antidepressant era.,10.1001/archpsyc.63.8.856,"Zarate CA, Singh JB, Carlson PJ, et al. ""A Randomized Trial of an N-methyl-D-aspartate Antagonist in Treatment-Resistant Major Depression."" Archives of General Psychiatry. 2006;63(8):856–864. doi:10.1001/archpsyc.63.8.856. PubMed: 16894061"
LM-22,22,Sackeim et al. — Post-ECT Relapse Prevention,Acute & Safety,4,Intermediate,Yes — post-ECT continuation treatment is standard of care.,10.1001/jama.285.10.1299,"Sackeim HA, Haskett RF, Mulsant BH, et al. ""Continuation Pharmacotherapy in the Prevention of Relapse Following Electroconvulsive Therapy: A Randomized Controlled Trial."" JAMA. 2001;285(10):1299–1307. doi:10.1001/jama.285.10.1299. PubMed: 11255384"
LM-23,23,Fudala et al. — Office-Based Buprenorphine/Naloxone for Opioid Dependence,Substance Use,5,Intermediate,Yes — the foundation of office-based opioid treatment.,10.1056/NEJMoa022164,"Fudala PJ, Bridge TP, Herbert S, et al. ""Office-Based Treatment of Opiate Addiction with a Sublingual-Tablet Formulation of Buprenorphine and Naloxone."" New England Journal of Medicine. 2003;349(10):949–958. doi:10.1056/NEJMoa022164. PubMed: 12954743"
LM-24,24,Anton et al. — COMBINE Study (Alcohol Use Disorder),Substance Use,4,Intermediate,Yes — guides AUD pharmacotherapy selection.,10.1001/jama.295.17.2003,"Anton RF, O'Malley SS, Ciraulo DA, et al. ""Combined Pharmacotherapies and Behavioral Interventions for Alcohol Dependence: The COMBINE Study: A Randomized Controlled Trial."" JAMA. 2006;295(17):2003–2017. doi:10.1001/jama.295.17.2003. PubMed: 16670409"
LM-25,25,Dole & Nyswander — Methadone Maintenance Treatment,Substance Use,4,Introductory,Yes — methadone remains the gold standard for severe OUD.,10.1001/jama.1965.03090080008002,"Dole VP, Nyswander M. ""A Medical Treatment for Diacetylmorphine (Heroin) Addiction: A Clinical Trial with Methadone Hydrochloride."" JAMA. 1965;193(8):646–650. doi:10.1001/jama.1965.03090080008002. PubMed: 14321530"
LM-26,26,Barlow et al. — CBT vs. Imipramine for Panic Disorder,Anxiety/Trauma/OCD,4,Introductory,Yes — CBT remains first-line for panic disorder.,10.1001/jama.283.19.2529,"Barlow DH, Gorman JM, Shear MK, Woods SW. ""Cognitive-Behavioral Therapy, Imipramine, or Their Combination for Panic Disorder: A Randomized Controlled Trial."" JAMA. 2000;283(19):2529–2536. doi:10.1001/jama.283.19.2529. PubMed: 10815116"
