id,status,category,type,difficulty,high_yield,competency,source_pages,stem,options,answer_key,answer_text,why,pearl,evidence
qb_sud_001,attested,substance,two-tier,2,True,next-step;pharm,t_sud.md,"A 34-year-old man admitted last night for opioid use disorder asks to start buprenorphine right away — 'I don't want to get sick.' His last heroin use was about 6 hours ago. He is anxious but has no yawning, rhinorrhea, mydriasis, or piloerection; his COWS score is 4. Best next step?","A. Start buprenorphine now, before the withdrawal becomes severe | B. Continue serial COWS scoring and start buprenorphine once objective withdrawal is present (COWS roughly 8 to 12) | C. Give a benzodiazepine to control the withdrawal symptoms | D. Reassure him that opioid withdrawal is not dangerous and defer any medication",B,Continue serial COWS scoring and start buprenorphine once objective withdrawal is present (COWS roughly 8 to 12),"Comfort-first induction is the trap the request invites — buprenorphine started before objective withdrawal precipitates the withdrawal it was meant to prevent. Serial COWS scores make the timing objective: induction begins at roughly 8 to 12, not at the patient's anxiety. The benzodiazepine belongs to alcohol and sedative withdrawal, and 'not dangerous' is not a plan when MOUD linkage is the discharge intervention.",Do not start buprenorphine until objective withdrawal is on board (COWS roughly ≥ 8 to 12) or you may precipitate withdrawal.,t_sud.md 'Acute inpatient management' — begin buprenorphine induction only once objective withdrawal is present (roughly COWS ≥ 8 to 12) to avoid precipitated withdrawal from displacing residual full agonist too early.
qb_rel_001,attested,relational,relational,2,True,psychosocial;safety,exp_family.md,"A family meeting is held the day before planned discharge for a 52-year-old man admitted after a suicide attempt by overdose. When the agenda reaches safety and warning signs, his wife says: 'We'll keep a close eye on him. And you don't need to worry about the guns — he would never use them, and they're put away.' The attending invites your input. Which response is best?","A. 'It makes sense that everyone is exhausted and scared. Before discharge, who can confirm that the firearms — and any stockpiled medications — are actually secured, and how will we know it's done?' | B. 'Firearms are involved in about half of US suicides and are lethal in 85 to 90 percent of attempts — ""put away"" isn't good enough.' | C. 'That's reassuring — we'll document that the family will keep him safe and that the guns are secured.' | D. 'Discharge can't move forward unless you agree to remove every firearm from the home today.'",A,"'It makes sense that everyone is exhausted and scared. Before discharge, who can confirm that the firearms — and any stockpiled medications — are actually secured, and how will we know it's done?'","The best response validates first, stays inside the student role, and converts 'put away' into a concrete, verifiable step — who secures the items and how the team will know. Quoting lethality statistics at the family is the righting reflex in evidence clothing; accepting reassurance leaves means safety unconfirmed at the exact moment risk peaks; and an ultimatum makes the family responsible for treatment while overstepping the student's role.","Means safety is a lethality intervention, not a formality — 'who can confirm items are secured before discharge?' is a clinical act.","exp_family.md 'Why It Matters' — documented lethal-means assessment was associated with fewer suicide attempts and deaths at 180 days (0.83% vs 3.3%; Boggs et al. 2020, quasi-experimental); suicide risk peaks in the first week post-discharge (Chung et al., JAMA Psychiatry 2017)."
qb_cog_001,attested,neurocog,sba,2,False,dx;safety,delirium.md,"A 76-year-old woman on hospital day 3 after hip-fracture repair is referred to psychiatry for 'depression.' She is quiet, slow to respond, and sleeps much of the day; her nurse notes she was conversational yesterday evening but is 'flat' this morning. She cannot recite the months of the year backward. Most likely explanation?",A. Major depressive episode — recommend starting an antidepressant | B. Early dementia unmasked by hospitalization | C. Hypoactive delirium — screen for precipitating causes and deliriogenic medications | D. Expected postoperative fatigue — reassure the team and sign off,C,Hypoactive delirium — screen for precipitating causes and deliriogenic medications,"Acute onset, a course that fluctuates across one shift, and failed months-backward — inattention, the cardinal deficit — assemble the CAM picture; low arousal makes it hypoactive delirium, the form most often mislabeled as depression or overlooked because the patient is quiet. Dementia declines over months, not shifts, and 'postoperative fatigue' does not take attention with it. The work now is finding the drivers — infection, metabolic derangement, deliriogenic medications, retention, constipation, pain.","Hypoactive delirium is the dangerous one: commonly missed, worse outcomes, and easily mislabeled as depression.","delirium.md 'Recognize and screen' — Confusion Assessment Method (CAM, Inouye et al.): acute onset and fluctuating course, plus inattention, plus either disorganized thinking or altered level of consciousness."
qb_mood_001,attested,mood,sba,1,True,dx;safety,t_mood.md,"A 31-year-old woman is admitted for a severe depressive episode with passive suicidal ideation. The intern plans to start sertraline today. Before initiating an antidepressant, the most important step is which of the following?","A. Start sertraline now — the diagnosis of major depressive disorder is established by her current presentation | B. Obtain a collateral history and formally screen for any prior manic or hypomanic episode before prescribing an antidepressant | C. Start sertraline and add lithium prophylactically to cover any occult bipolar risk | D. Start sertraline and a PRN benzodiazepine, since anxiety commonly accompanies depression",B,Obtain a collateral history and formally screen for any prior manic or hypomanic episode before prescribing an antidepressant,"Antidepressant before bipolar screen is the key trap: an SSRI started in unrecognized bipolar disorder can trigger mania or rapid cycling. Obtaining collateral and screening for past mania or hypomania is the gatekeeping step before any antidepressant is written. Prophylactic lithium without a diagnosis is premature polypharmacy, and the reflexive benzodiazepine adds risk without resolving the diagnostic question.",Screen every depressed patient for past mania before writing for an antidepressant.,t_mood.md 'High-yield pearls' — Screen every depressed patient for past mania before writing for an antidepressant.
qb_mood_002,attested,mood,two-tier,3,False,pharm;safety,t_mood.md;psychopharm_primer.md,"A 38-year-old man with bipolar I disorder, stable on lithium maintenance for two years, presents with a 2-day course of worsening tremor, confusion, and vomiting. Five days ago he began ibuprofen for back pain. Which of the following best explains his presentation?",A. A breakthrough manic episode — agitation and confusion signal mood destabilization | B. Viral encephalitis — the confusion warrants urgent neuroimaging and lumbar puncture | C. Serotonin syndrome — lithium combined with ibuprofen triggers excess serotonin activity | D. Lithium toxicity precipitated by ibuprofen reducing renal lithium clearance,D,Lithium toxicity precipitated by ibuprofen reducing renal lithium clearance,"Treat the number not the patient, Missing the interaction, and Wrong toxidrome are the traps. Lithium has a narrow therapeutic window; NSAIDs reduce prostaglandin-mediated renal clearance and push lithium levels into the toxic range — a textbook drug interaction. The 2-day picture of tremor, confusion, and vomiting in a lithium-maintained patient who just started an NSAID is lithium toxicity until proven otherwise.","NSAIDs, ACE-inhibitors/ARBs, thiazides, and dehydration push lithium levels toward toxicity — check the list when lithium patients deteriorate.","t_mood.md 'Lithium' — lithium runs a narrow therapeutic window (~0.6–1.2 mEq/L); NSAIDs, ACE-inhibitors/ARBs, thiazides, and dehydration push levels toward toxicity."
qb_psy_001,attested,psychosis,sba,1,True,dx,t_psychosis.md,"A 27-year-old woman with no prior psychiatric history is admitted for new-onset paranoid ideation, disorganized behavior, and auditory hallucinations. Her chart notes she was started on high-dose prednisone three weeks ago for an autoimmune flare. Before establishing a primary psychiatric diagnosis, the most important step is which of the following?",A. Take a thorough medication and medical history and consider a substance- or medication-induced cause before labeling this a primary psychotic disorder | B. Start a second-generation antipsychotic immediately — symptom control should not await diagnostic clarity | C. Diagnose schizophreniform disorder based on symptom type and the absence of a prior psychiatric history | D. Reassure the family that first-episode psychosis in young adults is almost always primary and will respond to antipsychotics,A,Take a thorough medication and medical history and consider a substance- or medication-induced cause before labeling this a primary psychotic disorder,"Psychosis = schizophrenia is the trap in two forms: treating immediately or diagnosing before excluding secondary causes. Psychosis is a syndrome with a broad differential — corticosteroids are a recognized cause of secondary psychosis, and the clinical picture (new-onset, no prior history, active steroid course) demands a medical workup first. Face-value reassurance skips that step and commits to a prognosis without a diagnosis.","Psychosis is a syndrome — exclude delirium, substances, medications, and autoimmune causes before settling on a primary disorder.","t_psychosis.md 'Differential and can't-miss mimics' — Always exclude secondary/medical psychosis before settling on a primary disorder. Screen for substance-induced causes (stimulants, cannabis, hallucinogens, withdrawal) and any medical or medication cause; corticosteroids are a recognized secondary cause (general clinical principle, not individually named on this source page). Do not miss autoimmune/limbic encephalitis."
qb_psy_002,attested,psychosis,sba,2,False,next-step;safety,t_psychosis.md;psychopharm_primer.md,"A 37-year-old man with schizophrenia has been stable on haloperidol 5 mg/day and sertraline 100 mg/day for a comorbid depressive episode. His sertraline was increased to 150 mg two days ago. He now presents with fever (38.9°C), agitation, diaphoresis, and muscle rigidity. CK is mildly elevated at 680 U/L. The differential includes serotonin syndrome and neuroleptic malignant syndrome. Which finding, if present on examination, would most strongly support serotonin syndrome over neuroleptic malignant syndrome?","A. Uniform lead-pipe resistance throughout the passive range of motion of the upper and lower extremities, with normal deep tendon reflexes. | B. Creatine kinase (CK) above 5,000 U/L with rising creatinine suggesting early rhabdomyolysis. | C. Gradual onset of rigidity and fever developing over 48–72 hours after the haloperidol was started three months ago, with no change in the serotonergic regimen. | D. Ankle clonus with brisk, brisker-than-baseline deep tendon reflexes throughout the lower extremities.",D,"Ankle clonus with brisk, brisker-than-baseline deep tendon reflexes throughout the lower extremities.","Lead-pipe rigidity + hyporeflexia → NMS; clonus + hyperreflexia → SS. The three distractors all describe NMS features: lead-pipe rigidity (A), dramatically elevated CK (B), and subacute onset tied to the dopamine blocker rather than the serotonergic change (C). Ankle clonus with lower-extremity hyperreflexia (D) is the hallmark physical finding of serotonin syndrome — it reflects serotonin-mediated hyperactivation of spinal reflex arcs and is absent in NMS, where rigidity comes from central dopaminergic dysfunction. The added clinical clues — onset after the sertraline increase, mild rather than dramatic CK — also favor SS over NMS. In practice, both syndromes require stopping the offending agent; the physical exam reflex pattern is the fastest bedside discriminator.","NMS vs. SS at the bedside: lead-pipe rigidity + hyporeflexia → NMS (dopamine blocker, subacute onset); clonus + hyperreflexia → SS (serotonergic agent, rapid onset hours).","psychotic_disorders_inpatient_teaching.md 'Neuroleptic malignant syndrome vs. serotonin syndrome' — The key discriminator: lead-pipe rigidity + hyporeflexia = NMS; clonus + hyperreflexia (especially ankle clonus) = SS. Onset timeline and offending agent class support the differentiation (Boyer and Shannon, N Engl J Med 2005; Strawn et al., Am J Psychiatry 2007)."
qb_anx_001,attested,anxiety,sba,1,False,dx,t_anxiety.md,"A 29-year-old woman admitted for a manic episode is started on risperidone. Two days later she is restless, pacing the hallway, unable to sit through meals, and says she 'can't stop moving.' She denies worsening mood symptoms. Which of the following best explains her presentation?",A. Worsening mixed mania with motor agitation — increase the risperidone | B. New-onset generalized anxiety disorder unmasked by hospitalization stress | C. Restless legs syndrome — the urge to move is confined to the lower extremities at rest | D. Akathisia — medication-induced inner restlessness from dopamine blockade that worsens with more antipsychotic,D,Akathisia — medication-induced inner restlessness from dopamine blockade that worsens with more antipsychotic,"Agitation = antipsychotic is the dangerous error: escalating the dopamine blocker intensifies akathisia. Missing the iatrogenic cause leads to a wrong new diagnosis. RLS vs akathisia distinguishes them by distribution and provocation — RLS is limb-specific and rest-provoked; akathisia is global, medication-timed, and worsens with increased dosing.","Akathisia is the classic inpatient miss — inner restlessness from antipsychotics that worsens with more dopamine blockade, not less.","t_anxiety.md 'Differential on the unit' — akathisia is the classic miss: restless, driven motor anxiety from antipsychotics that worsens if you reflexively treat it as 'agitation' with more dopamine blockade."
qb_anx_002,attested,anxiety,sba,1,False,management;pharm,t_anxiety.md,"A 28-year-old woman admitted for a severe depressive episode is also found to have untreated PTSD — she endorses daily nightmares, hypervigilance, and avoidance behaviors that have persisted for two years since an assault. She has no history of substance use disorder. After addressing the acute safety concern, which is the most appropriate first-line pharmacotherapy for her PTSD?","A. Start scheduled lorazepam — benzodiazepines reduce hyperarousal and improve sleep, targeting PTSD's core neurobiological substrate | B. Start an SSRI or SNRI, counsel her about delayed onset, and plan trauma-focused therapy (prolonged exposure or CPT) as a discharge goal | C. Start propranolol — beta blockade prevents autonomic consolidation of traumatic memories and is first-line for established PTSD | D. Start an antipsychotic for the intrusive re-experiencing — flashback-like episodes indicate psychotic features requiring dopamine blockade",B,"Start an SSRI or SNRI, counsel her about delayed onset, and plan trauma-focused therapy (prolonged exposure or CPT) as a discharge goal","The reflexive benzodiazepine is the most common trap — standing benzos for PTSD create dependence without treating the disorder and are explicitly avoided on the inpatient unit. SSRIs and SNRIs are first-line across all anxiety disorders and PTSD; definitive treatment pairs medication with trauma-focused therapy (prolonged exposure or CPT) planned at discharge. Propranolol is studied in acute peritraumatic settings, not as first-line pharmacotherapy for established PTSD. Antipsychotics conflate re-experiencing with psychosis.",SSRIs/SNRIs are first-line for PTSD — benzodiazepines are a liability on the unit; pair medication with trauma-focused therapy (PE or CPT) at discharge.,"t_anxiety.md 'Acute inpatient management' — SSRIs and SNRIs are first-line across anxiety disorders, OCD, and PTSD; avoid standing benzodiazepines on the unit; pair pharmacology with disorder-specific behavioral work — prolonged exposure (PE) and cognitive processing therapy (CPT) for PTSD."
qb_sud_002,attested,substance,sba,2,False,safety;next-step,t_sud.md,A 52-year-old man with a history of heavy daily alcohol use is admitted in early withdrawal — tremulous and tachycardic. A nurse is about to start an IV dextrose infusion for a fingerstick glucose in the low-normal range. The most important step before administering the glucose is which of the following?,A. Obtain a CIWA-Ar score to guide benzodiazepine dosing before starting any IV fluids | B. Confirm his blood alcohol level has cleared to zero before giving glucose-containing fluids | C. Administer thiamine before or with the glucose to prevent Wernicke encephalopathy | D. Reassure the team that Wernicke encephalopathy risk applies only to patients with a documented prior episode,C,Administer thiamine before or with the glucose to prevent Wernicke encephalopathy,"Sequence error and It's just withdrawal are the traps. Administering carbohydrate to a thiamine-depleted patient can precipitate Wernicke encephalopathy — a preventable neurologic emergency. Thiamine goes before or with the glucose, and it does not require a prior history of encephalopathy. The rule governs planned and maintenance carbohydrate, as here: it is not a licence to withhold emergency dextrose from a hypoglycemic patient while thiamine is located.",Thiamine before or with glucose in a thiamine-depleted patient — carbohydrate loading can precipitate Wernicke encephalopathy. Never delay emergency dextrose for documented hypoglycemia — give the sugar immediately and the thiamine alongside it.,t_sud.md 'Acute inpatient management' — Give thiamine before or with glucose; administering carbohydrate to a thiamine-depleted patient can precipitate Wernicke encephalopathy. The sequencing governs maintenance and repletion fluids and never justifies delaying dextrose in documented hypoglycemia.
