category,source_page,source_title,link_text,url,final_url,content_type,filename,path,bytes,sha256
Patient and family education,https://www.psychiatry.org/patients-families/climate-change-and-mental-health-connections,Psychiatry.org - Climate Change and Mental Health Connections,Read the full statement.,https://www.psychiatry.org/getattachment/0ce71f37-61a6-44d0-8fcd-c752b7e935fd/Position-Mental-Health-Climate-Change.pdf,https://www.psychiatry.org/getattachment/0ce71f37-61a6-44d0-8fcd-c752b7e935fd/Position-Mental-Health-Climate-Change.pdf,application/pdf,2b7821aba8_Position-Mental-Health-Climate-Change.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/2b7821aba8_Position-Mental-Health-Climate-Change.pdf,125090,2b7821aba823cb8e195f106ac005a9bcb1c63459f9fd5ab0ba059d1d3a29a5a5
Patient and family education,https://www.psychiatry.org/patients-families/alzheimers/what-is-alzheimers-disease,Psychiatry.org - What Are Dementia and Alzheimer’s Disease?,Patient and Caregiver Guide: Antipsychotic Medications to Treat Agitation and Psychosis in Adults with Dementia (.pdf),https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Clinical%20Practice%20Guidelines/APA-Dementia-Patient-and-Caregiver-Guide.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Practice/Clinical%20Practice%20Guidelines/APA-Dementia-Patient-and-Caregiver-Guide.pdf,application/pdf,66be7c4af8_APA-Dementia-Patient-and-Caregiver-Guide.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/66be7c4af8_APA-Dementia-Patient-and-Caregiver-Guide.pdf,402407,66be7c4af80397a3d39abaac65df7d137e722ff354af3f35e733244b0e95941d
Patient and family education,https://www.psychiatry.org/patients-families/eating-disorders/what-are-eating-disorders,Psychiatry.org - What are Eating Disorders?,Eating Disorders Statistics,https://www.psychiatry.org/getmedia/4e28215e-4c52-426c-af97-086e55d0ace2/Eating-Disorders-Statistics.pdf,https://www.psychiatry.org/getmedia/4e28215e-4c52-426c-af97-086e55d0ace2/Eating-Disorders-Statistics.pdf,application/pdf,171884cefa_Eating-Disorders-Statistics.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/171884cefa_Eating-Disorders-Statistics.pdf,285715,171884cefa91c75bdf638627e2a58384a1536cbc7000cc09c13eda699043cb4c
Patient and family education,https://www.psychiatry.org/patients-families/addiction-substance-use-disorders,Psychiatry.org - Addiction and Substance Use Disorders,Read the full list,https://www.psychiatry.org/getmedia/e25c07ae-7333-4466-9add-5fe75ffce45e/Addiction-Top-10-Public-FINAL.pdf,https://www.psychiatry.org/getmedia/e25c07ae-7333-4466-9add-5fe75ffce45e/Addiction-Top-10-Public-FINAL.pdf,application/pdf,97b9474176_Addiction-Top-10-Public-FINAL.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/97b9474176_Addiction-Top-10-Public-FINAL.pdf,177473,97b947417692855a2ced2a415111ca1cd69ed55ee7c6e9ab712bee1149111563
Patient and family education,https://www.psychiatry.org/patients-families/coping-after-disaster-trauma,Psychiatry.org - Coping After Disaster,Mental Health: A Guide for Faith Leaders (.pdf),https://www.psychiatry.org/File%20Library/Psychiatrists/Cultural-Competency/faith-mentalhealth-guide.pdf,https://www.psychiatry.org/File%20Library/Psychiatrists/Cultural-Competency/faith-mentalhealth-guide.pdf,application/pdf,d7c10b3569_faith-mentalhealth-guide.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/d7c10b3569_faith-mentalhealth-guide.pdf,4302241,d7c10b3569684dff464480e5c5809519e84a3ee08a5239a51a1ccb270bfa2152
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/%C2%BFque-es-la-psiquiatria,Psychiatry.org - ¿Qué es la psiquiatría?,Descargar el Folleto,https://www.psychiatry.org/getmedia/0f1f369d-0e6b-4838-92d9-1a4fc1940916/7-15-24-What-is-a-Psychiatrist-ES.pdf,https://www.psychiatry.org/getmedia/0f1f369d-0e6b-4838-92d9-1a4fc1940916/7-15-24-What-is-a-Psychiatrist-ES.pdf,application/pdf,9989639776_7-15-24-What-is-a-Psychiatrist-ES.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/9989639776_7-15-24-What-is-a-Psychiatrist-ES.pdf,157869,99896397762c948ad8f22949963f4cb1da2ba4319f68afd5ad230c150941792d
Collaborative and integrated care,https://www.psychiatry.org/patients-families/integrated-behavioral-healthcare,Psychiatry.org - Integrated Behavioral Healthcare,The Role of Collaborative Care in Reducing Mental Health Inequities,https://www.psychiatry.org/getmedia/e24b9d4f-df28-43a1-8359-25cc4f9de661/APA-Role-CoCM-Reducing-Mental-Health-Inequities.pdf,https://www.psychiatry.org/getmedia/e24b9d4f-df28-43a1-8359-25cc4f9de661/APA-Role-CoCM-Reducing-Mental-Health-Inequities.pdf,application/pdf,efbe8e9b2f_APA-Role-CoCM-Reducing-Mental-Health-Inequities.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/efbe8e9b2f_APA-Role-CoCM-Reducing-Mental-Health-Inequities.pdf,310420,efbe8e9b2f9c1b2249f9fa0e661352329e3e4a500012327e2d2d363f9a2bebaa
Patient and family education,https://www.psychiatry.org/patients-families/eating-disorders/what-are-eating-disorders,Psychiatry.org - What are Eating Disorders?,,https://www.psychiatry.org/getmedia/e19a72cf-444d-439e-92a8-25688ddf98b6/What-are-Eating-Disorders-Infographic,https://www.psychiatry.org/getmedia/e19a72cf-444d-439e-92a8-25688ddf98b6/What-are-Eating-Disorders-Infographic,application/pdf,3e61dc018b_What-are-Eating-Disorders-Infographic.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/3e61dc018b_What-are-Eating-Disorders-Infographic.pdf,216316,3e61dc018bdac8732bbcc6915b29549b838cb47e8a964e894eaf4e8d864e45bc
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/ansiedad/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/f6a3712f-5e7e-4fdb-bf50-30d365e813f5/7-18-24-Ansiedad-ES.pdf,https://www.psychiatry.org/getmedia/f6a3712f-5e7e-4fdb-bf50-30d365e813f5/7-18-24-Ansiedad-ES.pdf,application/pdf,27d3b0880f_7-18-24-Ansiedad-ES.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/27d3b0880f_7-18-24-Ansiedad-ES.pdf,133711,27d3b0880f6adb8d89eae2fe14eddac545a35df33b3af06be57c814f0bfb3f32
Spanish patient and family education,https://www.psychiatry.org/patients-families/la-salud-mental/depresion/folleto,Psychiatry.org - Folleto,Descargar el Folleto,https://www.psychiatry.org/getmedia/4cc0fb51-d643-4e0d-a52b-6110643cfa1f/depresion-folleto.pdf,https://www.psychiatry.org/getmedia/4cc0fb51-d643-4e0d-a52b-6110643cfa1f/depresion-folleto.pdf,application/pdf,93ca47443a_depresion-folleto.pdf,/Users/jm/Psychiatry-Clerkship-Library/13_Faculty_Resources/APA_Downloads_2026-06-29/files/93ca47443a_depresion-folleto.pdf,154179,93ca47443a3f25a133e6f2e1cf532c00882a7341632e91a03b58e40d0c3b9fbd
