row,episode_number,full_title,best_score,best_source,best_video_id,best_video_title,reason
57,58,Episode 058: Lithium Monitoring and Side Effects,0.425,channel-index,6atRgjYIip0,"Psilocybin Therapy Part 1: History, Pop Culture, Safety and Side Effects",ambiguous_or_not_found
85,89,Episode 089: How to Retire Happy,0.000,none,,,ambiguous_or_not_found
113,119,Episode 119: Obsessive Compulsive Disorder,0.583,channel-index,4ZRLXSZZECo,Obsessive-compulsive Personality and the Personality Continuum with Dr. Shedler,ambiguous_or_not_found
117,122,Episode 122: Bipolar I and II - Diagnosis and Treatment,,manual-review,,,no_unambiguous_channel_match
121,126,Episode 126: OCD Psychotherapy,,manual-review,,,no_unambiguous_channel_match
181,189,Episode 189: Non-Violent Communication,0.292,channel-index,QTwzuuF1hP4,How to treat violent and aggressive patients — Psychiatry and Psychotherapy Podcast,ambiguous_or_not_found
254,,Adolescent Depression: A Different Disease,0.309,channel-search,OoXGcXxvojQ,Psychotic Depression with Dr. Cummings,ambiguous_or_not_found
255,,Adolescent Depression: Developmental Considerations,0.229,channel-index,OoXGcXxvojQ,Psychotic Depression with Dr. Cummings,ambiguous_or_not_found
256,,Adult ADHD: Why Wasn't This Caught Earlier?,0.132,channel-index,-6aVGlYUBas,"ADHD: Diagnosis, Symptoms & Treatment — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder",ambiguous_or_not_found
257,,Adult Autism: Late Diagnosis,0.229,channel-index,UlmNqJqEC-Y,The Autism Wave with Dr. Cummings,ambiguous_or_not_found
258,,Bipolar Disorder 101,0.361,channel-search,-j67sto5OZs,Why Lithium is a Great Option for Treating Bipolar — Psychiatry and Psychotherapy Podcast,ambiguous_or_not_found
259,,Bipolar Disorder Medication Management,0.511,channel-search,YhKvhaQwUs4,Buprenorphine and Opioid Use Disorder Management with Dr. Neal Christopher,ambiguous_or_not_found
260,,Bipolar Disorder and Family Psychoeducation,0.303,channel-search,vBeB6V-KA70,The History and Nuances of Bipolar Illness — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
261,,Borderline Personality Disorder 101,0.688,channel-index,AOJaCM-GiMo,Borderline Personality Disorder: Psychotherapy Schema Therapy,ambiguous_or_not_found
262,,CBT for Anxiety: What to Expect,0.300,channel-index,4hR4UUz70KI,Social Anxiety with Dr. Cummings,ambiguous_or_not_found
263,,CBT for Insomnia,0.491,channel-search,yXJxkQqXRtY,Commonly Prescribed Sleep Medications and Treatment for Insomnia,ambiguous_or_not_found
264,,Childhood Anxiety Disorders: Assessment and Treatment,0.371,channel-index,7TeeK8ruaA8,Perinatal Mood and Anxiety Disorders,ambiguous_or_not_found
265,,Chronic Pain and Depression: Biopsychosocial Approach,0.342,channel-index,s9yJsv6O3yQ,"Exercise as a Prescription for Depression, Anxiety, Chronic Stress (like Diabetes) and Sensorium",ambiguous_or_not_found
266,,DBT Skills Overview,0.080,channel-search,gPk9_hhieLw,The Secret Skill Great Therapists Have with Otto Kernberg,ambiguous_or_not_found
267,,EMDR Explained,0.400,channel-index,BrZkCDtv-fo,"Dissociative Identity Disorder (DID) Explained: Trauma, Neuroscience, Controversies & Recovery",ambiguous_or_not_found
268,,EMDR: Rapid Trauma Processing,0.229,channel-index,CRwlo7AP4tc,How to Treat Emotional Trauma — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
269,,ERP: The Gold Standard for OCD,0.212,channel-index,LDFch7RSSyY,Burnout in Healthcare: Overcoming Emotional Detachment with Dr. Jessi Gold,ambiguous_or_not_found
270,,Eating Disorders 101,0.571,channel-index,6xl4b2v538o,"Eating Disorders: Empathy, Alexithymia, Reflective Function",ambiguous_or_not_found
271,,Family Guide to Mental Illness,0.583,channel-index,F61IriYEyRQ,How Much Violence Is Due To Mental Illness?,ambiguous_or_not_found
272,,Family-Based Treatment for Adolescent EDs,0.345,channel-index,fJ3fVZ0GegI,Pathological Narcissism: Effective Treatment with Mentalization-Based Therapy (MBT),ambiguous_or_not_found
274,,Gender Dysphoria: Understanding,0.312,channel-index,OLQb-WVfitw,Understanding Placebo — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
275,,Interpersonal Therapy (IPT): Evidence and Practice,0.178,channel-index,AC3P-SrTj1M,Exercise Compared to Medications or Therapy for Depression,ambiguous_or_not_found
276,,Late-Life Depression: More Than Just Aging,0.135,channel-index,OoXGcXxvojQ,Psychotic Depression with Dr. Cummings,ambiguous_or_not_found
277,,MAT: Medication-Assisted Treatment,0.229,channel-index,p2XkYUZRsJ0,The Integration of Psychotherapy as a Treatment Modality,ambiguous_or_not_found
278,,MI for Substance Use Disorders,0.372,channel-search,bpAYy5Yf6ZA,The History and Use of Antipsychotics with Dr. Cummings — Psychiatry and Psychotherapy Podcast,ambiguous_or_not_found
279,,Major Depression 101: A Patient's Guide,0.303,channel-search,uoXypIuHpo0,Depression and Anxiety in Geriatric Patients — Psychiatry & Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
280,,Means Reduction Counseling,0.080,channel-search,BrZkCDtv-fo,"Dissociative Identity Disorder (DID) Explained: Trauma, Neuroscience, Controversies & Recovery",ambiguous_or_not_found
281,,Mental Health and Aging,0.642,channel-search,YQrhLzKcDW4,Exercise as a Drug for Mental Health and Longevity with Dr. Stephen Seiler,ambiguous_or_not_found
282,,Motivational Interviewing in Psychiatric Settings,0.431,channel-index,FpnaJFStVGQ,Unlocking Change: The Power of Motivational Interviewing with Dr. William Miller,ambiguous_or_not_found
283,,OCD 101: More Than Being Neat,0.144,channel-index,bYZwFZ4ZKGs,Understanding Real Event OCD: When the Past Fuels Obsession,ambiguous_or_not_found
284,,Panic Disorder: Comprehensive Diagnosis and Treatment,0.383,channel-index,lwOHZfRYw8c,Catatonia: Diagnosis and Treatment,ambiguous_or_not_found
285,,Pediatric OCD: Recognition and Treatment,0.417,channel-index,flP_z4XByk4,Breaking the OCD Cycle: Expert Insights with Dr. Fred Penzel | Evidence-Based Treatment Guide,ambiguous_or_not_found
286,,Postpartum Depression Recognition and Treatment,0.475,channel-index,KIeGlbrqfJM,Postpartum Depression with Dr. Pereau — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
287,,Postpartum Psychosis - Emergency Recognition and Treatment,0.371,channel-index,Pw63OFaC4uQ,Early Psychosis: Detection and Treatment,ambiguous_or_not_found
288,,Prolonged Exposure Therapy for PTSD,0.517,channel-search,-cOXrHsp0Js,PTSD and Cognitive Processing Therapy with Patricia Resick,ambiguous_or_not_found
289,,Psychiatric Medications 101,0.600,channel-index,if5eQeIMcEw,How Psychiatric Medications Work with Dr. Cummings — Psychiatry & Psychotherapy Podcast,ambiguous_or_not_found
290,,Social Anxiety: More Than Just Shyness,0.321,channel-index,4hR4UUz70KI,Social Anxiety with Dr. Cummings,ambiguous_or_not_found
291,,Starting Antidepressants,0.458,channel-index,6-t8_RN2vX4,The History of Antidepressants — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
292,,Suicide Risk Assessment - Beyond Screening Tools,0.306,channel-index,_5ebgHRNmCw,"Suicide Epidemiology, Risk Factors, and Treatments",ambiguous_or_not_found
293,,Talking to Families About Suicide Risk,0.363,channel-index,_5ebgHRNmCw,"Suicide Epidemiology, Risk Factors, and Treatments",ambiguous_or_not_found
294,,Therapy Types: Finding Your Fit,0.178,channel-index,AC3P-SrTj1M,Exercise Compared to Medications or Therapy for Depression,ambiguous_or_not_found
295,,Understanding Narcissistic Personality,0.571,channel-index,OXDDY5vsm2g,Understanding Complex PTSD and Borderline Personality Disorder,ambiguous_or_not_found
296,,Understanding Schizophrenia: A Family Guide,0.351,channel-search,p9rB9okhhS8,"Schizophrenia Treatment: Clozapine, LAIs, Technology & Equity with John Kane, MD & Lauren Hanna, MD",ambiguous_or_not_found
297,,Your First Month on Antidepressants,0.237,channel-index,6-t8_RN2vX4,The History of Antidepressants — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,ambiguous_or_not_found
