rank,author,short_title,status,ties_to_existing,full_title
6,Cipriani et al.,Lithium and Suicide Prevention (Lithium),candidate-net-new,Mood — lithium & suicide (verify vs spine),Rank 6. Cipriani et al. — Lithium and Suicide Prevention (Lithium)
9,Zarate et al.,Ketamine for Treatment-Resistant Depression (Ketamine),candidate-net-new,Mood / TRD (ketamine),Rank 9. Zarate et al. — Ketamine for Treatment-Resistant Depression (Ketamine)
10,Tiihonen et al.,Real-World Antipsychotic Effectiveness and LAIs (LAIs),candidate-net-new,Protocol Library / LAIs,Rank 10. Tiihonen et al. — Real-World Antipsychotic Effectiveness and LAIs (LAIs)
12,Turner et al.,Publication Bias in Antidepressant Trials (SSRIs),candidate-net-new,Critical appraisal (publication bias),Rank 12. Turner et al. — Publication Bias in Antidepressant Trials (SSRIs)
14,Fudala et al.,Buprenorphine/Naloxone for Opioid Use Disorder (Buprenorphine),candidate-net-new,Substance Use / Withdrawal (buprenorphine),Rank 14. Fudala et al. — Buprenorphine/Naloxone for Opioid Use Disorder (Buprenorphine)
15,Saitz et al.,Symptom-Triggered Benzodiazepine Dosing for Alcohol Withdrawal (Benzodiazepines),candidate-net-new,Withdrawal tool (symptom-triggered benzodiazepines),Rank 15. Saitz et al. — Symptom-Triggered Benzodiazepine Dosing for Alcohol Withdrawal (Benzodiazepines)
16,Pillinger et al.,Metabolic Effects of 18 Antipsychotics (Antipsychotics),candidate-net-new,Nutrition & Metabolic Health (antipsychotic metabolic effects),Rank 16. Pillinger et al. — Metabolic Effects of 18 Antipsychotics (Antipsychotics)
17,Kaul et al.,Xanomeline-Trospium: The First Non-Dopaminergic Antipsychotic (Novel Mechanism),candidate-net-new,Psychosis (KarXT / xanomeline — novel mechanism),Rank 17. Kaul et al. — Xanomeline-Trospium: The First Non-Dopaminergic Antipsychotic (Novel Mechanism)
19,Furukawa et al.,Optimal SSRI Dosing (SSRIs),candidate-net-new,Mood / SSRI dosing,Rank 19. Furukawa et al. — Optimal SSRI Dosing (SSRIs)
20,Lichtenstein et al.,ADHD Medication Reduces Criminality (Stimulants),candidate-net-new,ADHD / neurodevelopmental (stimulants & outcomes),Rank 20. Lichtenstein et al. — ADHD Medication Reduces Criminality (Stimulants)
