title,section,citation_or_doi
Xanomeline-Trospium (Cobenfy) — First Non-Dopaminergic Antipsychotic (FDA approved September 2024),I,
"Dextromethorphan/Bupropion (Auvelity) — Rapid-Onset Oral Antidepressant (FDA approved August 2022; additional indication for agitation in Alzheimer's dementia, 2026)",I,
Lumateperone (Caplyta) — Expanded Indications,I,
Olanzapine/Samidorphan (Lybalvi) — Weight-Mitigated Olanzapine (FDA approved May 2021),I,
Zuranolone (Zurzuvae) — Oral Neurosteroid for Postpartum Depression (FDA approved August 2023),I,
Esketamine (Spravato) — Expanded Indication for Acute Suicidality (2020),I,
"ELEKT-D Trial — Ketamine Noninferior to ECT for TRD (NEJM, 2023)",II,
"MIND-USA Trial — Antipsychotics Do Not Treat ICU Delirium (NEJM, 2018, with practice impact extending into 2020s)",II,
"DBT vs. SSRI for Suicidal Behavior in BPD (American Journal of Psychiatry, 2025)",II,
Psilocybin for Depression — Mixed Results Across Multiple Trials (2021–2026),II,
Lecanemab (CLARITY-AD) and Donanemab (TRAILBLAZER-ALZ 2) — First Disease-Modifying Alzheimer's Therapies (2023–2024),II,
"Leichsenring et al. — Umbrella Review of Psychotherapy and Pharmacotherapy Efficacy (World Psychiatry, 2022)",IV,
"Saelens et al. — Network Meta-Analysis of TRD Treatments (Neuropsychopharmacology, 2025)",IV,
"Pillinger et al. — Metabolic Effects of 18 Antipsychotics (Lancet Psychiatry, 2020)",IV,
"Psilocybin Meta-Analysis (Kishi et al., 2026)",IV,
988 Suicide & Crisis Lifeline Launch (July 2022),VII,
