canonical_id,audio_lm,paper,topic,duration,audio_file,quiz,quiz_n,doi,oe_id,status,note
SP-01,LM-01,Lieberman 2005 - CATIE Trial,Psychosis,1:38,01_LM_01_Lieberman_2005_CATIE_Trial_1_38.m4a,The CATIE Trial: Rethinking Antipsychotic Efficacy and Selection,7,10.1056/NEJMoa051688,LM-01,quiz+DOI,
SP-02,LM-02,Rush 2006 - STAR*D,Mood,1:44,02_LM_02_Rush_2006_STAR_D_1_44.m4a,The STAR*D Trial: Benchmarking Depression Treatment Outcomes,7,10.1176/appi.ajp.163.11.1905,LM-03,quiz+DOI,
SP-03,LM-03,Sachs 2007 - STEP-BD,Mood,1:34,03_LM_03_Sachs_2007_STEP_BD_1_34.m4a,STEP-BD: The Role of Antidepressants in Bipolar Depression,5,10.1056/NEJMoa064135,LM-08,quiz+DOI,
SP-04,LM-04,Kane 1988 - Clozapine,Psychosis,1:50,04_LM_04_Kane_1988_Clozapine_1_50.m4a,The Kane Study: Clozapine in Treatment-Resistant Schizophrenia,6,10.1001/archpsyc.1988.01800330013001,LM-02,quiz+DOI,
SP-05,LM-05,Cipriani 2018 - Antidepressant NMA,Mood,1:52,05_LM_05_Cipriani_2018_Antidepressant_NMA_1_52.m4a,Cipriani’s Comprehensive Meta-Analysis of 21 Antidepressant Drugs,6,10.1016/S0140-6736(17)32802-7,LM-04,quiz+DOI,
SP-06,LM-06,Geddes 2010 - BALANCE,Mood,1:36,06_LM_06_Geddes_2010_BALANCE_1_36.m4a,The BALANCE Trial: Lithium vs. Valproate for Bipolar Maintenance,5,10.1016/S0140-6736(09)61828-6,LM-14,quiz+DOI,
SP-07,LM-07,Cipriani 2013 - Lithium-Suicide,Acute & Safety,1:50,08_LM_07_Cipriani_2013_Lithium_Suicide_1_50.m4a,Lithium and the Prevention of Suicide in Mood Disorders,5,10.1136/bmj.f3646,LM-09,quiz+DOI,
SP-08,LM-08,Leucht 2013 - Antipsychotic NMA,Psychosis,2:00,07_LM_08_Leucht_2013_Antipsychotic_NMA_2_00.m4a,The Leucht Meta-Analysis: Antipsychotic Maintenance and Relapse Prevention,5,10.1016/S0140-6736(12)60239-6,LM-19,quiz+DOI,
SP-09,LM-09,Kellner 2006 - Continuation ECT,Psychopharmacology,1:48,09_LM_09_Kellner_2006_Continuation_ECT_1_48.m4a,,0,10.1001/archpsyc.63.12.1337,,needs quiz+DOI,related quiz: Sackeim Post-ECT; ECT efficacy
SP-10,LM-10,Moncrieff 2022 - Antidepressant Withdrawal,Psychopharmacology,1:37,10_LM_10_Moncrieff_2022_Antidepressant_Withdrawal_1_37.m4a,,0,,,needs quiz+DOI,
SP-11,LM-11,Brown 1962 - Expressed Emotion,Family & Systems,2:02,11_LM_11_Brown_1962_Expressed_Emotion_2_02.m4a,,0,10.1136/jech.16.2.55,,needs quiz+DOI,
SP-12,LM-12,Leff 1982 - Family Intervention,Family & Systems,1:35,12_LM_12_Leff_1982_Family_Intervention_1_35.m4a,,0,10.1192/bjp.141.2.121,,needs quiz+DOI,
SP-13,LM-13,Falloon 1982 - Family Management,Family & Systems,1:57,14_LM_13_Falloon_1982_Family_Management_1_57.m4a,,0,10.1056/nejm198206173062401,,needs quiz+DOI,
SP-14,LM-14,McFarlane 1995 - Multifamily,Family & Systems,1:52,13_LM_14_McFarlane_1995_Multifamily_1_52.m4a,,0,10.1001/archpsyc.1995.03950200069016,,needs quiz+DOI,
