number,source_title,audio_card_title,duration,filename,bytes,sha256
01,Anthony's Recovery Model: Beyond Symptom Remission,Meaningful recovery beyond the clinical checklist,1:24,OE-01_Anthony_s_Recovery_Model_Beyond_Symptom_Remission__Meaningful_recovery_beyond_the_clinical_checklist.m4a,2734482,8a86402f372e3b3ef09a70b9c0720da7d128f80b860beb851930e5047e52e137
02,CBT versus Imipramine for Management of Panic Disorder,CBT Outlasts Medication for Panic Disorder,1:55,OE-02_CBT_versus_Imipramine_for_Management_of_Panic_Disorder__CBT_Outlasts_Medication_for_Panic_Disorder.m4a,3732126,42e70c88fee76d81515b76919103d4e65ff58ee5cca6ac67107a813502eda772
03,Cipriani’s Comprehensive Meta-Analysis of 21 Antidepressant Drugs,Which Antidepressants Actually Work Best,1:34,OE-03_Ciprianis_Comprehensive_Meta_Analysis_of_21_Antidepressant_Drugs__Which_Antidepressants_Actually_Work_Best.m4a,3034160,785d231f6998313431c4778fec647b28a4f1fb52d25a277a3f32a37011cb27f7
04,Clarifying Confusion: The Inouye CAM Study Summary,Master the CAM delirium screening tool,1:45,OE-04_Clarifying_Confusion_The_Inouye_CAM_Study_Summary__Master_the_CAM_delirium_screening_tool.m4a,3393602,aa100cab69aa1528427d735695437b882ba6a8884e9719123bd05879064bc617
05,Clinical Standards and Efficacy of Electroconvulsive Therapy,ECT Outperforms Medications for Severe Depression,1:49,OE-05_Clinical_Standards_and_Efficacy_of_Electroconvulsive_Therapy__ECT_Outperforms_Medications_for_Severe_Depression.m4a,3518357,ec6971bba7ff268981973e9b4e2961a33f6ccb96529766ef9b2f24f2ee32c24d
06,Comparative Efficacy and Tolerability of 32 Oral Antipsychotics,Pick antipsychotics based on side effects,1:34,OE-06_Comparative_Efficacy_and_Tolerability_of_32_Oral_Antipsychotics__Pick_antipsychotics_based_on_side_effects.m4a,3028931,f991ac659b2b06bebac5a4193950ca7d0143d3b1ef36dc6c87f38415d06b6036
07,Divalproex versus Lithium for Acute Mania: The Bowden Trial,Divalproex Rivals Lithium for Acute Mania,1:52,OE-07_Divalproex_versus_Lithium_for_Acute_Mania_The_Bowden_Trial__Divalproex_Rivals_Lithium_for_Acute_Mania.m4a,3614094,5c9c64f35d5d40d29b3daf90343a139982e431a30b98fefcd7409d2b1f2dd579
08,Dole and Nyswander: The Foundations of Methadone Maintenance,The 1965 Trial That Established Methadone,1:47,OE-08_Dole_and_Nyswander_The_Foundations_of_Methadone_Maintenance__The_1965_Trial_That_Established_Methadone.m4a,3455606,27cb8b3fa99ea3fcb5fe04dfcb491bfd794186b7c59db66b6892ec5799b7ab5b
09,Evidence-Based Strategies for Systematic Suicide Prevention,Treating depression and restricting lethal means,1:32,OE-09_Evidence_Based_Strategies_for_Systematic_Suicide_Prevention__Treating_depression_and_restricting_lethal_means.m4a,2989338,aeae965a052ea6f75ca03174a58d1cdb1e7b9b7a67b66ffd54c65ce95b7bc112
10,Family-Focused Therapy and Relapse Prevention in Bipolar Disorder,Family Focused Therapy Prevents Bipolar Relapse,1:51,OE-10_Family_Focused_Therapy_and_Relapse_Prevention_in_Bipolar_Disorder__Family_Focused_Therapy_Prevents_Bipolar_Relapse.m4a,3575248,b1b86ffac11cd74edb7ec85523b86e8799d0331767c7452b3bfb8f5ae81398ea
11,Foundations of Dialectical Behavior Therapy for Borderline Personality Disorder,How Marsha Linehan proved BPD is treatable,1:54,OE-11_Foundations_of_Dialectical_Behavior_Therapy_for_Borderline_Personality_Disorder__How_Marsha_Linehan_proved_BPD_is_treatable.m4a,3687304,b632104e10f45e92fc9fd7379fddf1cecf5449994ea98c9dab885c2fd233077a
12,Foundations of Office-Based Buprenorphine Treatment,Bringing Buprenorphine to Primary Care,1:43,OE-12_Foundations_of_Office_Based_Buprenorphine_Treatment__Bringing_Buprenorphine_to_Primary_Care.m4a,3320392,67894225f30bf0ba645956fa7f816d04d84119c4328c7731bfdd654f9358e8aa
13,Lithium and the Prevention of Suicide in Mood Disorders,Lithium Slashes Suicide Risk by 87 Percent,1:40,OE-13_Lithium_and_the_Prevention_of_Suicide_in_Mood_Disorders__Lithium_Slashes_Suicide_Risk_by_87_Percent.m4a,3247182,7bbe32992fb4c2e5e7bf5da7580c3ba14bdd97b346177e708ae53df57b990fe2
14,Measurement-Based Care for Major Depressive Disorder,Measurement Based Care Doubles Depression Remission,1:47,OE-14_Measurement_Based_Care_for_Major_Depressive_Disorder__Measurement_Based_Care_Doubles_Depression_Remission.m4a,3450376,ec607c8f27b906b81256cc14d66bbad6da463eb49aba29e3d71307922499aa2f
15,Memantine and the Evolution of Severe Alzheimer’s Therapy,Memantine for Moderate to Severe Alzheimer's,1:31,OE-15_Memantine_and_the_Evolution_of_Severe_Alzheimers_Therapy__Memantine_for_Moderate_to_Severe_Alzheimer_s.m4a,2934057,10e22a4563ff1659c22147e92a5294fc13c9d933a4d39c46f1d76a09f17428a7
16,Metabolic Monitoring Protocols for Second-Generation Antipsychotics,ADA APA Antipsychotic Metabolic Monitoring Consensus,1:45,OE-16_Metabolic_Monitoring_Protocols_for_Second_Generation_Antipsychotics__ADA_APA_Antipsychotic_Metabolic_Monitoring_Consensus.m4a,3407795,deb1ddc098e0239b714b6399e15e93ca0bdc0d003f38ac29ac8094e1d63a7bb4
17,Pediatric Antidepressants and the FDA Black Box Warning,Why Pediatric Antidepressant Warnings Backfired,1:44,OE-17_Pediatric_Antidepressants_and_the_FDA_Black_Box_Warning__Why_Pediatric_Antidepressant_Warnings_Backfired.m4a,3362973,4f3815b63df71bed4aafc0741878788f0d394c292b8cfd0ad0483c6967b568d3
18,Project MATCH: Brief Interventions and Motivational Enhancement Efficiency,Project MATCH proves brief therapy works,1:42,OE-18_Project_MATCH_Brief_Interventions_and_Motivational_Enhancement_Efficiency__Project_MATCH_proves_brief_therapy_works.m4a,3293498,c37b751f5cf5b16d17dab16e216e6b3269094072135876cf736d8006e97419ed
19,RAISE-ETP: Coordinated Specialty Care for First-Episode Psychosis,RAISE-ETP Standards for First Episode Psychosis,1:55,OE-19_RAISE_ETP_Coordinated_Specialty_Care_for_First_Episode_Psychosis__RAISE_ETP_Standards_for_First_Episode_Psychosis.m4a,3730632,d12f56d1d6cfb7a1b064f84d29b148888bd051e777ead4912ba37edc58627d18
20,STEP-BD: The Role of Antidepressants in Bipolar Depression,Antidepressants fail to treat bipolar depression,1:58,OE-20_STEP_BD_The_Role_of_Antidepressants_in_Bipolar_Depression__Antidepressants_fail_to_treat_bipolar_depression.m4a,3818035,196f075daed59d15383eadf55387f6e64199caee33e4371ee3f42a1096ed4eb0
21,Sackeim Study: Pharmacotherapy Strategies for Post-ECT Relapse Prevention,Lithium and Nortriptyline Prevent ECT Relapse,1:42,OE-21_Sackeim_Study_Pharmacotherapy_Strategies_for_Post_ECT_Relapse_Prevention__Lithium_and_Nortriptyline_Prevent_ECT_Relapse.m4a,3299475,bdb9a486c8dbe760caf2bd0ec6879481d5eb8d8c4d3d70b4fd30abd00d64254b
22,Sertraline Efficacy in PTSD Management: The Brady Study,The Brady Study of Sertraline for PTSD,1:44,OE-22_Sertraline_Efficacy_in_PTSD_Management_The_Brady_Study__The_Brady_Study_of_Sertraline_for_PTSD.m4a,3356250,b158113429229df77b016735fa5225992e1b72e7cef7336227b78c8a2b143176
23,Shared Decision Making in Psychiatric Care,Shared Decision Making for Severe Mental Illness,1:29,OE-23_Shared_Decision_Making_in_Psychiatric_Care__Shared_Decision_Making_for_Severe_Mental_Illness.m4a,2894460,d70ef7877972edd104b368e7e7a84501c6bd21ff8712eb3ecd67935974ea8761
24,Social Determinants and Clinical Frameworks in Modern Psychiatry,Social reality is core psychiatry,1:45,OE-24_Social_Determinants_and_Clinical_Frameworks_in_Modern_Psychiatry__Social_reality_is_core_psychiatry.m4a,3397337,d4b247f15f4c9caba380561f93882dddf7d02113a880fa01b816cc5173a12b37
25,TADS: Evaluating Combination Therapy for Adolescent Depression,Fluoxetine and CBT for depressed teens,1:40,OE-25_TADS_Evaluating_Combination_Therapy_for_Adolescent_Depression__Fluoxetine_and_CBT_for_depressed_teens.m4a,3231494,e0186989501905a120088e7527de031c09b1a535dc2e6159f98d7ae118fc19d1
26,The BALANCE Trial: Lithium vs. Valproate for Bipolar Maintenance,Lithium Beats Valproate for Bipolar Maintenance,1:44,OE-26_The_BALANCE_Trial_Lithium_vs_Valproate_for_Bipolar_Maintenance__Lithium_Beats_Valproate_for_Bipolar_Maintenance.m4a,3370443,3f0d209a0a0a49f225cb15702f764016ee72f25ee09dfe4eda8933f98f878956
27,The Bush-Francis Catatonia Rating Scale and Lorazepam Protocol,Bush-Francis Scale and the Lorazepam Challenge,1:44,OE-27_The_Bush_Francis_Catatonia_Rating_Scale_and_Lorazepam_Protocol__Bush_Francis_Scale_and_the_Lorazepam_Challenge.m4a,3354008,b67db0e9e3a2a4266f4a5cd010b96df12e6b079f5afbc9df1ca122ee90035b69
28,The CATIE Trial: Rethinking Antipsychotic Efficacy and Selection,Side Effects Drive Antipsychotic Selection,1:57,OE-28_The_CATIE_Trial_Rethinking_Antipsychotic_Efficacy_and_Selection__Side_Effects_Drive_Antipsychotic_Selection.m4a,3776948,c511014e693cfbfba511ee3eb593fed4cc67c0d3b39bc45f9528cc13314c8ea8
29,The CATIE-AD Trial: Antipsychotic Risks in Alzheimer’s Patients,Why Antipsychotics Failed in CATIE-AD,1:59,OE-29_The_CATIE_AD_Trial_Antipsychotic_Risks_in_Alzheimers_Patients__Why_Antipsychotics_Failed_in_CATIE_AD.m4a,3853146,d4f55c042813302ff7a9b0704833d3b264d47661a562fe6925f8f2cef614a134
30,The CLARITY-AD Trial: Lecanemab for Early Alzheimer’s Disease,Lecanemab slows early Alzheimer's decline,1:54,OE-30_The_CLARITY_AD_Trial_Lecanemab_for_Early_Alzheimers_Disease__Lecanemab_slows_early_Alzheimer_s_decline.m4a,3697762,69b4a8c6ea6802f1a4ef1d252116322a2121ccfc509a68ab43556c3612a87f60
31,The COMBINE Study: Optimizing Alcohol Use Disorder Treatment,Naltrexone and medical management for AUD,1:56,OE-31_The_COMBINE_Study_Optimizing_Alcohol_Use_Disorder_Treatment__Naltrexone_and_medical_management_for_AUD.m4a,3744079,5c66a9b6655849aea3713b05f47ed06a4b00bfdfe35992cd071a2b510886fba7
32,The Columbia Suicide Severity Rating Scale Foundation and Validation,Validating the Columbia Suicide Severity Scale,1:31,OE-32_The_Columbia_Suicide_Severity_Rating_Scale_Foundation_and_Validation__Validating_the_Columbia_Suicide_Severity_Scale.m4a,2934057,0db04bd5a07eebb211e5bc301faa3f0329288fc534724b4427b52935d8540fce
33,The Definitive Meta-Analysis of Psychotherapy for Depression,Is CBT Actually Better Than Other Therapies,1:34,OE-33_The_Definitive_Meta_Analysis_of_Psychotherapy_for_Depression__Is_CBT_Actually_Better_Than_Other_Therapies.m4a,3056571,026ce0f29f05c6b2b90b0925575ec4ec396dc3ca166e1079153c238d8610729d
34,The Engel Biopsychosocial Model: Foundations of Modern Psychiatry,Engel's Biopsychosocial Model for Modern Psychiatry,1:29,OE-34_The_Engel_Biopsychosocial_Model_Foundations_of_Modern_Psychiatry__Engel_s_Biopsychosocial_Model_for_Modern_Psychiatry.m4a,2880901,53e2b62037ffa1cf9afa282dfecb42a0ce5aaa89d3765f290e007e7997200cb4
